,country,salary,currency_code
0,Argentina,1503900,ARS
1,Australia,111100,AUD
2,Belarus,952071300,BYR
3,Bosnia and Herzegovina,50900,BAM
4,Brazil,227000,BRL
5,Bulgaria,57100,BGN
6,Canada,86300,CAD
7,Chile,27384400,CLP
8,China,235000,CNY
9,Colombia,41831600,COP
10,Croatia,261500,HRK
11,Czech Republic,900300,CZK
12,Denmark,535100,DKK
13,Dominican Republic,1480700,DOP
14,Hong Kong,637800,HKD
15,Hungary,10227600,HUF
16,India,1350400,INR
17,Indonesia,324836600,IDR
18,Israel,234900,ILS
19,Japan,8019700,JPY
20,Malaysia,105200,MYR
21,Mexico,546800,MXN
22,Morocco,248100,MAD
23,Norway,750700,NOK
24,Pakistan,2714500,PKR
25,Peru,109600,PEN
26,Philippines,1292000,PHP
27,Poland,175800,PLN
28,Romania,131200,RON
29,Russia,1748600,RUB
30,Serbia,2693400,RSD
31,Singapore,85200,SGD
32,South Africa,719300,ZAR
33,South Korea,67987400,KRW
34,Sweden,652900,SEK
35,Switzerland,122800,CHF
36,Thailand,968900,THB
37,Tunisia,97600,TND
38,Turkey,127400,TRY
39,Ukraine,717100,UAH
40,United Kingdom,47200,GBP
41,United States,75100,USD
